bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,price
4,2,1970,6480,1.5,0,0,5,7,1130,840,1920,0,98108,423000
3,2.5,2150,4084,2,0,0,3,8,2150,0,2007,0,98126,465000
3,2.5,1910,66211,2,0,0,3,7,1910,0,1997,0,98024,440000
3,1.75,1350,155073,1,0,0,4,7,1350,0,1969,0,98038,385000
3,1,860,11725,1,0,0,4,6,860,0,1943,0,98056,210000
3,2.5,1940,14952,2,0,0,3,8,1940,0,1994,0,98042,297000
3,1,1010,5000,1,0,0,3,7,1010,0,1952,0,98107,470000
3,1.5,1300,7370,1,0,0,4,7,900,400,1976,0,98023,226500
3,1,910,8450,1,0,0,4,6,910,0,1962,0,98059,274250
4,1.75,2480,11010,1,0,0,4,9,1630,850,1966,0,98040,840000
3,2.5,2440,4587,2,0,0,3,8,2440,0,2010,0,98052,677900
3,1,1010,5864,1,0,0,3,7,1010,0,1915,0,98116,425000
2,0.75,900,9600,1,0,0,3,6,900,0,1941,0,98166,180250
6,3,2300,3404,2,0,0,3,7,1600,700,1920,1994,98133,464000
4,2.25,1550,7579,2,0,0,3,8,1550,0,1993,0,98038,320000
3,2.25,1270,1566,2,0,0,3,8,1060,210,2014,0,98105,625504
4,2.5,2240,12032,1,0,0,3,9,2240,0,1983,0,98074,592500
3,2.5,2714,17936,2,0,0,3,9,2714,0,2005,0,98001,465000
4,2.75,1720,6270,2,0,0,3,8,1720,0,1978,0,98118,477000
2,1,850,16400,1,0,0,3,6,850,0,1923,0,98168,280000
5,3,3300,33474,1,0,3,3,9,1870,1430,1957,1991,98040,1.51E+06
3,2.5,2250,5692,2,0,0,3,8,2250,0,2000,0,98146,445838
2,2.25,3900,14864,1,0,3,3,8,1950,1950,1947,0,98144,1.07E+06
2,1.5,1320,10800,1,0,0,4,8,1320,0,1947,0,98177,467000
4,2.5,2760,6440,2,0,0,3,10,2760,0,1999,0,98075,686000
3,2,1750,9750,1,0,0,3,7,1350,400,1961,0,98198,279950
4,2.25,2330,19436,2,0,0,3,8,2330,0,1987,0,98011,527000
3,2.25,2220,16020,1,0,0,4,8,1780,440,1966,0,98030,325000
3,2.25,2020,8379,2,0,0,3,7,2020,0,1994,0,98038,328000
3,2.25,1250,7500,1,0,0,5,7,1250,0,1942,0,98146,390000
2,2,1510,6516,1,0,0,3,8,1510,0,2005,0,98053,479950
4,2.25,1720,9753,1,0,0,4,7,1120,600,1978,0,98023,264950
3,1,1430,15246,1,0,0,4,7,980,450,1961,0,98031,235000
3,2.5,1480,4729,2,0,0,3,7,1480,0,2004,0,98053,516500
2,1.75,1450,15798,2,1,4,3,7,1230,220,1915,1978,98166,655000
4,2.75,2280,15347,1,0,0,5,7,2280,0,1960,0,98059,500000
6,2.75,2940,7350,1,0,0,3,8,1780,1160,1978,0,98023,315000
2,1,1000,10200,1,0,0,3,6,1000,0,1961,0,98024,213000
3,1.5,2480,5280,1.5,0,0,5,7,1620,860,1947,0,98108,475000
5,4,3760,28040,2,0,0,3,10,3760,0,1983,0,98033,1.03E+06
3,2,2220,94300,1,0,0,5,7,1640,580,1976,0,98010,416000
4,1,1970,4740,1.5,0,0,3,7,1670,300,1904,2005,98122,410000
3,3.5,3830,221284,2,0,0,3,10,3530,300,1993,0,98077,800000
6,2.5,4410,14034,1,0,2,4,9,2350,2060,1965,0,98003,472000
3,1.75,1430,8505,1,0,0,4,7,1430,0,1968,0,98003,225000
2,1,830,6000,1,0,0,3,6,830,0,1940,0,98126,210000
2,1,1430,5000,1.5,0,0,2,7,1430,0,1925,0,98115,455000
3,1,1300,8316,1,0,0,4,6,1300,0,1954,0,98002,225000
2,1,1030,3060,1,0,2,4,7,790,240,1918,0,98103,480000
3,2.5,2740,11872,2,0,0,3,9,2740,0,1990,0,98023,363000
4,2.5,3650,8354,1,1,4,3,9,1830,1820,2000,0,98074,2.40E+06
2,1.5,720,5120,1,0,0,3,6,720,0,1954,0,98106,181000
4,2,2010,7312,1,0,0,4,7,2010,0,1976,0,98002,250000
3,1.75,1560,3000,1,0,0,4,6,770,790,1918,0,98103,481000
3,2,1810,7209,1,0,0,4,7,1240,570,1978,0,98032,260000
4,2.5,3360,7685,2,0,0,3,9,3360,0,2001,0,98058,455000
3,2.25,1510,36224,2,0,0,3,8,1510,0,1991,0,98045,415000
3,1,1400,3538,1,0,0,3,7,800,600,1953,0,98118,349500
3,2.5,1730,7442,2,0,0,3,7,1730,0,1987,0,98030,245000
2,2,1420,9191,1.5,0,2,5,7,1420,0,1928,0,98115,592500
4,1.75,2360,7620,1,0,0,4,7,1180,1180,1955,0,98106,385000
3,1.75,1580,11455,1,0,0,4,7,1200,380,1974,0,98059,315000
3,1,1230,10170,1,0,0,3,7,1230,0,1979,0,98045,255000
4,2.5,2460,4425,2,0,0,3,8,2460,0,2006,0,98052,693000
3,1,1660,4400,1.5,0,0,3,8,1460,200,1911,0,98112,780000
3,1.75,1270,8470,1,0,0,4,7,1270,0,1960,0,98198,237000
3,2.25,2100,40510,2,0,0,3,10,1320,780,1979,0,98074,525000
2,1,770,5040,1,0,0,3,5,770,0,1930,0,98144,425000
1,0.75,760,10079,1,1,4,5,5,760,0,1936,0,98070,369900
4,2.5,1700,7280,2,0,0,4,7,1700,0,1988,0,98031,290000
3,1,1120,10701,1,0,0,3,7,1120,0,1954,0,98106,285000
2,1,1070,4500,1,0,0,3,7,1070,0,1937,0,98115,415000
3,2.5,2070,9900,1,0,0,3,8,1420,650,1979,0,98023,272500
4,3.25,5050,20100,1.5,0,2,3,11,4750,300,1982,2008,98004,2.90E+06
4,4.75,5310,57346,2,0,0,4,11,5310,0,1989,0,98077,1.37E+06
2,1,1040,7538,1,0,0,4,7,1040,0,1939,0,98133,436000
3,1,1700,11390,1,0,0,4,7,1700,0,1967,0,98003,210000
3,1,1300,5898,1,0,0,3,7,1300,0,1961,0,98178,236000
3,1.75,1080,1306,1,0,0,3,7,580,500,1954,2003,98199,331000
3,2.5,2653,4510,2,0,0,3,8,2653,0,2006,0,98031,365000
3,2,2290,16258,1,0,0,5,8,2290,0,1960,0,98058,450000
4,2.75,3820,26300,2,0,0,3,9,2850,970,2014,0,98028,770000
4,2.5,2210,49375,1,0,0,3,8,2210,0,1997,0,98038,455000
3,1.75,2390,6000,1,0,0,3,6,1240,1150,1908,0,98118,405000
4,1.75,2600,11325,1,0,0,4,7,1610,990,1969,0,98031,304900
2,1,860,5265,1,0,0,3,6,860,0,1931,0,98178,170000
5,3,3830,8480,2,0,1,5,9,2630,1200,1905,1994,98122,2.05E+06
4,2.5,3500,7048,2,0,0,3,9,3500,0,2005,0,98053,780000
3,3,2420,13959,1,0,0,4,8,1740,680,1988,0,98028,330000
4,2.5,2720,8666,2,0,0,3,9,2720,0,1992,0,98030,370000
5,2.25,2500,13500,1,0,0,3,7,1850,650,1979,0,98072,467000
3,1.75,1670,6720,1,0,0,3,7,1140,530,1980,0,98034,405000
5,2.25,2900,10300,1,0,0,3,8,1450,1450,1985,0,98006,675000
2,1,1640,14100,1,0,0,4,7,1140,500,1954,0,98006,500000
4,2.5,1890,15770,2,0,0,4,7,1890,0,1968,0,98166,389999
4,1.75,2950,9025,1,0,2,4,8,1780,1170,1975,0,98034,630000
4,2.5,2160,9528,2,0,0,3,9,2160,0,1992,0,98001,360000
4,3,3280,11060,2,0,0,3,8,2270,1010,1986,0,98056,580000
3,2,1970,4166,2,0,3,5,8,1270,700,1929,0,98126,550000
4,2.5,3360,22111,2,0,0,3,10,3360,0,1994,0,98075,879000
3,2,1320,8959,1,0,0,3,7,1320,0,1993,0,98042,265000
3,2.5,2650,7286,2,0,0,3,8,2650,0,1990,0,98059,446500
3,1.5,2030,8880,1,0,0,3,7,1330,700,1963,0,98108,404000
3,1.75,1590,11914,1,0,2,3,7,1090,500,1957,0,98188,267500
4,5,4550,18641,1,1,4,3,10,2600,1950,2002,0,98074,3.08E+06
3,2.5,2440,7632,2,0,0,3,8,2440,0,1998,0,98003,335000
3,2.5,1940,9000,1,0,0,4,7,970,970,1948,0,98117,576000
3,2.5,2040,3810,2,0,0,3,8,2040,0,2006,0,98038,208633
3,2.25,2200,8750,1,0,0,4,7,1120,1080,1964,0,98166,315000
3,1.75,1920,3300,1,0,0,4,8,960,960,1913,0,98112,725000
4,2.75,1800,7750,1,0,0,4,8,1400,400,1965,0,98177,550000
4,2.25,2180,7297,2,0,0,3,8,2180,0,1984,0,98074,610750
2,1,1010,5000,1.5,0,0,4,6,1010,0,1908,0,98105,550700
4,2.75,3320,10574,2,0,0,5,8,2220,1100,1960,0,98056,665000
4,2.5,2370,4000,1.5,0,2,5,8,1980,390,1928,0,98144,834000
5,1.75,1660,78408,1.5,0,0,3,6,1660,0,1915,0,98065,201000
5,2.5,3650,9050,2,0,4,5,10,3370,280,1921,0,98119,2.38E+06
4,3.25,4290,12103,1,0,3,3,11,2690,1600,1997,0,98006,1.38E+06
4,3.25,4290,12103,1,0,3,3,11,2690,1600,1997,0,98006,1.40E+06
4,2.25,1950,7700,1,0,0,3,8,1350,600,1979,0,98058,305000
3,2,2590,14052,1,0,0,5,8,1720,870,1948,0,98133,487000
3,2.5,1930,64904,1,0,0,4,8,1930,0,1988,0,98042,390000
2,1,1470,3864,1,0,0,4,7,1170,300,1916,0,98103,548000
4,1,800,8775,1,0,0,3,6,800,0,1943,0,98166,268750
5,2.75,3150,7119,2,0,0,3,9,3150,0,2013,0,98052,819900
3,2.25,2030,16200,2,0,0,3,8,2030,0,1984,0,98027,520000
3,2,1450,11204,1,0,0,3,7,1450,0,2003,0,98001,230000
3,1.75,1510,10248,1,0,0,3,7,1510,0,1969,0,98023,240000
2,1,1240,12092,1,0,0,3,6,960,280,1922,1984,98146,232000
2,1,1240,12092,1,0,0,3,6,960,280,1922,1984,98146,240500
3,2.5,3030,45004,2,0,0,3,9,3030,0,1987,0,98077,274975
4,2,2050,4400,1.5,0,0,4,9,2050,0,1922,0,98102,740000
3,1,1000,7636,1,0,0,2,7,1000,0,1952,0,98166,186375
3,2.25,2370,10289,1,0,0,4,9,1590,780,1977,0,98005,790000
4,3.5,2800,6750,2,0,0,3,9,1890,910,1951,2002,98105,880000
6,1.75,2240,11180,2,0,0,4,7,2240,0,1955,0,98198,279000
3,2,1810,10530,1,0,2,3,8,1810,0,1991,0,98022,295000
2,1,1070,5000,1,0,0,3,7,1070,0,1924,0,98103,640000
4,2,2490,9525,2,0,0,5,9,2490,0,1968,0,98040,940000
4,2.5,1960,5238,2,0,0,3,7,1960,0,2003,0,98038,260000
3,2.75,2930,5569,1,0,0,3,9,1860,1070,2004,0,98072,559900
4,2,1510,3500,1.5,0,0,5,7,1510,0,1911,0,98103,791500
3,1.75,1420,8250,1,0,0,3,7,1420,0,1954,0,98133,265000
3,1.75,1740,11547,1,0,0,3,7,1740,0,1954,0,98178,245000
4,1.75,2560,43995,2,0,0,4,7,2560,0,1962,0,98052,485000
4,3.5,3040,8414,2,0,0,3,9,2420,620,2010,0,98059,684000
3,1.75,2500,6840,1,0,0,3,8,1300,1200,1957,0,98125,425000
4,1.75,1275,20000,1,0,0,4,6,1275,0,1991,0,98070,309600
4,2.5,2580,5823,2,0,0,3,8,2580,0,2002,0,98065,552250
4,1,1000,7134,1,0,0,3,6,1000,0,1943,0,98178,165000
4,1,1000,7134,1,0,0,3,6,1000,0,1943,0,98178,239900
2,1,1070,32633,1,0,0,4,6,1070,0,1930,0,98059,320000
3,2,1390,13464,1,0,0,4,7,1390,0,1987,0,98030,206600
4,1.75,2500,7690,1,0,0,3,7,1250,1250,1973,0,98155,387000
1,0.75,560,12120,1,0,0,3,4,560,0,1967,0,98014,299000
4,2.75,2270,10460,2,0,0,3,9,2270,0,1965,0,98040,855000
3,1,1900,14400,1,0,0,4,7,1300,600,1954,0,98166,315000
2,1,990,3120,1,0,2,5,7,790,200,1907,0,98103,437500
4,1.5,1550,19800,1,0,0,4,7,1050,500,1969,0,98001,252000
4,1.75,2200,7475,1,0,0,5,7,1100,1100,1955,0,98118,375000
4,2.5,1910,4862,2,0,0,3,7,1910,0,2005,0,98038,300000
4,1,1750,9600,1.5,0,0,4,7,1750,0,1954,0,98006,420000
3,1,1330,77972,1,0,0,3,7,1330,0,1928,1954,98033,900000
3,2.5,2440,5750,2,0,2,3,9,1980,460,2000,0,98116,679900
3,2.5,1640,29970,2,0,0,3,7,1640,0,1992,0,98053,463000
5,2.5,2760,11340,2,0,0,4,9,2760,0,1978,0,98059,380000
4,2.5,1820,7912,2,0,0,3,7,1820,0,1994,0,98038,329500
3,2.5,2110,5608,1,0,0,3,8,1340,770,2013,0,98033,604950
5,2.5,3040,9570,1,0,2,4,8,1640,1400,1966,0,98006,795000
3,2,1840,40438,2,0,0,3,7,1840,0,1994,0,98045,465000
4,2.5,2990,10400,2,0,0,3,9,2990,0,2002,0,98166,673000
